n_venue_x,n_venue_y
,
FORT MYERS FL,
SURPRISE AZ,
SPARTANBURG SC,
LAKELAND FL,
SPRINGFIELD MO,
HOUSTON,
SAN DIEGO,
LUBBOCK TX,
PHOENIX,
CONWAY SC,
PENSACOLA FL,
CARY NC,
GREENVILLE SC,
KNOXVILLE TN,
LOS ANGELES,
AUBURN AL,
CHARLOTTE NC,
BIRMINGHAM AL,
METAIRIE LA,
JACKSONVILLE FL,
PEARL MS,
KANSAS CITY MO,
NASHVILLE TN,
MONTGOMERY AL,
OXFORD MS,
SUGAR LAND TX,
NORTH LITTLE ROCK AR,
BILOXI MS,
SAUGET IL,
NORMAN OK,
ATLANTA,
TUSCALOOSA AL,
SAN ANTONIO,
LEXINGTON KY,
HOOVER AL,
CLEARWATER FL,
DURHAM NC,
BRONX NY,
SAN MARCOS TX,
HATTIESBURG MS,
LOWELL MA,
MOUNT PLEASANT SC,
TULSA OK,
OMAHA NE,
FISHKILL NY,
TERRE HAUTE IN,
AVON OH,
MESA AZ,
ALBUQUERQUE NM,
OKLAHOMA CITY,
FAIRBORN OH,
JACKSON TN,
STARKVILLE MS,
CHARLESTON SC,
THE BEACH,
NORFOLK VA,
CORPUS CHRISTI TX,
FRISCO TX,
LAKE ELSINORE CA,
BOSTON,
KODAK TN,
WINSTON-SALEM NC,
NEW ORLEANS,
LOUISVILLE KY,
OXFORD AL,
CHAMPAIGN IL,
CHAPEL HILL NC,
CLEMSON SC,
GAINESVILLE FL,
LAFAYETTE LA,
COLUMBIA SC,
COOKEVILLE TN,
HARRISONBURG VA,
DALLAS,
BOCA RATON FL,
,Springs Brooks Stadium Vrooman Field
,Lewis Field at Clark LeClair Stadium
,Wesley Barrow Stadium  New Orleans Louisian
,Arthur W Perdue Stadium  Salisbury MD
,Bobcat Ballpark San Marcos TX
,Pete Taylor Park  Hattiesburg Mississippi
,CofC Baseball Stadium at Patriot s Point  Mount Pleasant South Carolina
,J L Johnson Stadium
,Ken Dugan Field at Stephen Lee Marsh Stadium    of Lipscomb University
,Senator Thomas J Dodd Memorial Stadium  Norwich Connecticut
,Leidos Field at Ripken Stadium  Aberdeen Maryland
,Banner Island Ballpark  Stockton California
,All Pro Freight Stadium  Avon Ohio
,Santa Ana Star Field  Albuquerque New Mexico
,t TD Ameritrade Park Omaha  Omaha Nebraska
,Conway South Carolina
,Sprenger Stadium  Avon Ohio
,t Brooks Field  Wilmington North Carolina
,Billiken Sports Center  home field of Saint Louis
,Melching Field at Conrad Park
,t Les Miller Field at Curtis Granderson Stadium  Chicago
,Bart Kaufman Field    of Indiana University  Bloomington Indiana
,Edward A LeLacheur Park  Lowell Massachusetts
,Missouri State s Hammons Field  Springfield Missouri
,Louisville Slugger Field  Louisville Kentucky
,Choccolocco Park  Oxford Alabama
,J I Clements Stadium Statesboro GA
,Fluor Field at  West End  Greenville South Carolina
,Constellation Field  Sugar Land Texas
,MGM Park  Biloxi Mississippi
,Lexington County Baseball Stadium  Lexington South Carolina
,HoHoKam Stadium Mesa AZ
,Chickasaw Bricktown Ballpark  Oklahoma City Oklahoma
,Sliwa Stadium    of Embry Riddle Aeronautical University  Daytona Beach Florida
,Spectrum Field  Clearwater Florida
,Durham Bulls Athletic Park  Durham North Carolina
,M L Tigue Moore Field Lafayette LA
,Hoover Metropolitan Stadium  Hoover Alabama
,Liberty Baseball Stadium  Lynchburg Virginia
,Harmon Stadium    of  University of North Florida  Jacksonville Florida
,Mahaney Diamond  Orono Maine
,Horner Ballpark Dallas TX
,Eagle Field at Veterans Memorial Park  Harrisonburg Virginia
,Prasco Park  Mason Ohio
,Tucker Field at Barcroft Park Arlington VA
,Tony Gwynn Stadium  San Diego California
,Nischwitz Stadium  Fairborn Ohio
,Surprise Stadium Surprise AZ
,Minute Maid Park
,Dr Pepper Ballpark  Frisco Texas
,Jackie Robinson Ballpark    of Bethune Cookman University  Daytona Beach FL
,Springs Brooks Stadium Conway SC
,Duffy Bass Field Normal IL
,Rent One Park  Marion Illinois
,Fayetteville Ballpark  Fayetteville North Carolina
,Sprenger Stadium Avon Ohio
,Houlihan Park has been  home for  Fordham
,Melching Field at Conrad Park home field of  Stetson Hatters baseball team  DeLand Florida
,Hohokam Stadium spring training home of  Oakland Athletics  Mesa Arizona
,Varsity Field  Vestal New York
,William Peccole Park  Reno Nevada
,Whataburger Field
,Dell Diamond  Round Rock Texas
,Toyota Field  Madison Alabama
,Marty L Miller Field    of Norfolk State University  Norfolk Virginia
,BayCare Ballpark  Clearwater Florida
,Truist Field  Charlotte North Carolina
,Riverwalk Stadium  Montgomery Alabama
,Southern Illinois University s Itchy Jones Stadium  Carbondale Illinois
,J C Love Field at Pat Patterson Park  Ruston Louisiana
,Alumni Field Hammond Louisiana
,Joe Nathan Field  Stony Brook New York
,The Diamond  Richmond Virginia
,Tal Anderson Field  Omaha Neb
,The Ballpark at Jackson  Jackson Tennessee
,SEGRA Stadium  Fayetteville
,U S Bank Stadium
,Fluor Field Greenville NC
,Swanson Stadium home field of  Florida Gulf Coast
,WILSON FIELD Davidson College
,Scottsdale Stadium  Scottsdale Arizona
,Globe Life Field  Arlington
,Wild Health Field  Lexington Kentucky
,First Merchants Ballpark Muncie Ind
,Truist Point  High Point North Carolina
,Walter C Latham Park  Elon North Carolina
,Regions Field  Birmingham Alabama
,t Pete Taylor Park  Hattiesburg Mississippi
,Charles Schwab Field Omaha  Omaha Nebraska
,Clover Stadium  Pomona New York
